#,Well_ID,Well_Name,Latitude_ddeg,Longitude_ddeg,Elevation,Nappe,Influenced
114,03040016,Saint-Ignace-de-Stanbridge,45.177053,-72.929189,82.57,Captive,ND
115,03040017,Sutton,45.088606,-72.626095,158.75,Captive,ND
116,03040018,Sutton,45.088212,-72.626777,158.73,Captive,ND
117,03047011,Sainte-Angèle-de-Monnoir,45.42571,-73.0764,46.48,Captive,Oui
118,03070001,Saint-Patrice-de-Sherrington,45.1872,-73.5659,61.45,Semi-captive,Oui
119,03070002,Saint-Patrice-de-Sherrington,45.1872,-73.5659,61.34,Semi-captive,Non
120,03090001,Mercier,45.302594,-73.718533,50.72,Libre,Non
121,03090002,Mercier,45.302263,-73.772882,40.48,Captive,Non
122,03090003,Très-Saint-Sacrement,45.158798,-73.887595,41.0,Captive,Non
123,03090004,Ormstown,45.105293,-73.882762,69.56,Libre,Oui
124,03090005,Franklin,45.077503,-73.848759,58.97,Captive,Non
125,03090006,Franklin,45.077521,-73.848725,58.88,Captive,Oui
126,03090007,Havelock,45.049232,-73.812059,96.41,Libre,Non
127,03090008,Havelock,45.018234,-73.820789,318.06,Libre,Non
128,03090009,Godmanchester,45.093496,-74.247703,89.0,Libre,Non
129,03090010,Godmanchester,45.032495,-74.347994,72.0,Libre,Non
130,03090011,Godmanchester,45.032495,-74.347994,74.0,Libre,Non
131,03090012,Sainte-Clotilde-de-Châteauguay,45.144716,-73.607432,52.37,Captive,Non
132,03090013,Sainte-Clotilde-de-Châteauguay,45.144716,-73.607432,52.28,Captive,Non
133,03090014,Saint-Michel,45.165,-73.6043,55.94,Captive,Non
134,03090015,Saint-Michel,45.165,-73.6043,55.95,Captive,Non
135,03090018,Elgin,45.005599,-74.255503,61.0,Semi-captive,Non
136,03090019,Elgin,45.005599,-74.255503,61.0,Captive,Non
137,03090020,Franklin,45.031844,-73.905088,172.27,Semi-captive,Oui
138,03090021,Mercier,45.300942,-73.729681,47.56,Semi-captive,Non
139,03097062,Sainte-Martine,45.258175,-73.773243,38.32,Captive,Non
140,03097082,Sainte-Martine,45.25137,-73.78149,39.3,Captive,Non
141,03097094,Sainte-Martine,45.261285,-73.788802,37.31,Captive,Non
142,03097102,Saint-Rémi,45.262502,-73.631959,53.47,Captive,Oui
143,03097131,Saint-Isidore,45.252471,-73.702623,44.04,Captive,Oui
144,03097182,Saint-Urbain-Premier,45.240386,-73.752284,39.85,Captive,Non
145,03097191,Sainte-Martine,45.228,-73.784809,38.59,Captive,Non
146,03097201,Mercier,45.275882,-73.73942,39.83,Captive,Non
147,04010001,Mirabel,45.6418,-74.189084,78.34,Semi-captive,Non
148,04010002,Piedmont,45.90931,-74.137,179.7,Captive,Oui
149,04017011,Mirabel,45.605038,-74.193897,47.04,Captive,Non
150,04017031,Brownsburg-Chatham,45.593017,-74.418319,43.06,Captive,Non
151,04017041,Lachute,45.659486,-74.317022,69.94,Captive,Non
152,04017042,Lachute,45.659584,-74.316828,69.99,Captive,Non
153,04017051,Lachute,45.649498,-74.262459,75.94,Captive,Non
154,04020001,Lac-Saguay,46.49706,-75.14353,322.94,Libre,Non
155,04040001,Saint-André-Avellin,45.7409,-75.07489,169.07,Captive,Non
156,04060001,Lac-des-Écorces,46.50797,-75.34949,241.28,Captive,Non
157,04080001,Cantley,45.55226,-75.77693,195.09,Libre,Non
158,04080002,Messines,46.27239,-75.99244,199.23,Captive,Non
159,04080003,Gracefield,46.10233,-76.04767,157.09,Captive,Non
160,04300001,Brownsburg-Chatham,45.625151,-74.498214,88.84,Libre,Non
161,04300002,Rouyn-Noranda,48.45891,-78.86822,293.0,Captive,Non
162,04300003,Laniel,46.87612,-79.23291,260.0,Libre,Non
163,04300004,Nédélec,47.82545,-79.32874,331.0,Libre,Non
164,04300005,Nédélec,47.82546,-79.32875,331.0,Libre,Non
165,04300006,Rouyn-Noranda,48.19241,-78.86742,290.0,Captive,Non
166,04300007,Rouyn-Noranda,48.192176,-78.669357,327.49,Libre,Non
167,04300008,Rouyn-Noranda,48.371144,-78.630512,339.61,Captive,Non
168,04300009,Val-d'Or,47.89043,-78.15744,337.0,Libre,Non
169,04300010,Val-d'Or,47.89042,-78.15749,337.0,Libre,Non
170,04300011,Gatineau,45.40428,-75.83483,105.98,Libre,Non
171,04300012,Clarendon,45.6341,-76.49898,194.07,Libre,Non
172,04300013,L'Isle-aux-Allumettes,45.9088,-77.08265,131.36,Captive,Non
173,04300014,Oka,45.47257,-74.03795,28.82,Libre,Non
174,04300015,Grenville-sur-la-Rouge,45.64208,-74.59386,71.16,Captive,Non
175,04440001,Saint-Télesphore,45.29893,-74.45398,77.08,Captive,Non
176,04630001,Sainte-Marthe,45.43201,-74.31915,157.53,ND,Non
177,04640001,Mirabel,45.710869,-73.949027,69.71,Libre,Non
178,04647001,Sainte-Anne-des-Plaines,45.732994,-73.854503,57.18,Captive,Non
179,04647011,Mirabel,45.72367,-73.96195,69.27,Semi-captive,Non
180,04677031,Mirabel,45.562555,-74.07868,67.89,Libre,Oui
181,04740001,Les Cèdres,45.38177,-74.18181,91.78,Libre,Non
182,05000001,La Malbaie,47.65834,-70.19422,144.96,Libre,Non
183,05000002,Batiscan,46.48554,-72.26965,50.95,Libre,Non
184,05010001,Saint-Michel-des-Saints,46.68666,-73.918365,366.57,Semi-captive,Non
185,05017001,Trois-Rivières,46.3857,-72.51763,39.48,Libre,Oui
186,05017011,Trois-Rivières,46.38012,-72.53747,34.48,Libre,Oui
187,05017031,Trois-Rivières,46.38386,-72.5281,36.45,Libre,Oui
188,05020001,Trois-Rivières,46.41488,-72.60141,61.17,Libre,Non
189,05030001,Saint-Stanislas,46.61505,-72.3883,104.49,Captive,Non
190,05040001,Saint-Léonard-de-Portneuf,46.854675,-71.909757,154.0,Libre,Non
191,05040003,Sainte-Christine-d'Auvergne,46.80883,-71.97128,148.0,Libre,Non
192,05070001,Saint-Raymond,46.851255,-71.838865,160.0,Libre,Non
193,05080001,Pont-Rouge,46.771899,-71.667104,136.0,Libre,Non
194,05080002,Lac-Jacques-Cartier,47.56294,-71.22634,794.0,Libre,Non
195,05080003,Pont-Rouge,46.7705,-71.72052,115.0,Libre,Non
196,05097001,Québec,46.9058,-71.42991,199.09,Libre,Oui
197,05097002,Québec,46.87873,-71.39033,161.22,Semi-captive,Oui
198,05107041,Lac-Jacques-Cartier,47.28069,-71.15907,756.19,Semi-captive,Non
199,05120001,Saint-Ferréol-les-Neiges,47.16422,-70.8517,385.22,Captive,Non
200,05150001,Clermont,47.707973,-70.252825,57.5,Semi-captive,Non
201,05170001,Saint-Siméon,47.8595,-69.91951,168.19,Libre,Non
202,05220002,Sainte-Marcelline-de-Kildare,46.11344,-73.64407,215.0,Libre,Non
203,05220003,Saint-Calixte,45.96028,-73.84644,183.48,Captive,Non
204,05227007,Sainte-Julienne,46.008992,-73.68206,116.41,Captive,Oui
205,05260001,Mandeville,46.39198,-73.36258,187.0,Captive,Non
206,05280001,Sainte-Angèle-de-Prémont,46.37113,-73.07519,176.89,Captive,Non
207,05300001,Saint-Étienne-des-Grès,46.42053,-72.76804,94.22,Libre,Non
208,06010001,Petit-Saguenay,48.2006,-70.06245,38.0,Captive,Non
209,06020001,L'Anse-Saint-Jean,48.18383,-70.26928,137.0,Libre,Non
210,06100001,Lac-Pikauba,47.80589,-71.12731,851.0,Libre,Non
211,06140001,Métabetchouan - Lac-à-la-Croix,48.37297,-71.83101,169.0,Captive,Non
212,06150001,Lac-Jacques-Cartier,47.89631,-71.88757,492.0,Captive,Non
213,06170001,Sainte-Hedwidge,48.48326,-72.37227,288.0,Libre,Non
214,06180001,Sainte-Jeanne-d'Arc,48.90153,-72.08357,146.0,Captive,Non
215,06190001,Saint-Félicien,48.63807,-72.43073,109.0,Captive,Non
216,06190002,La Doré,48.69852,-72.6678,187.0,Captive,Non
217,06200001,Girardville,48.96465,-72.50292,204.0,Libre,Non
218,06210001,Dolbeau-Mistassini,48.85633,-72.31236,140.0,Libre,Non
219,06220001,Saint-Ludger-de-Milot,48.90232,-71.83226,179.0,Captive,Non
220,06230001,L'Ascension-de-Notre-Seigneur,48.70626,-71.66463,173.0,Libre,Non
221,06290001,Saint-Félix-d'Otis,48.26878,-70.61709,225.0,Captive,Non
222,06290002,Sainte-Rose-du-Nord,48.41063,-70.58132,123.0,Libre,Non
223,07000001,Longue-Rive,48.57986,-69.27266,131.67,Libre,Non
224,07000002,Baie-Trinité,49.35923,-67.38087,61.52,Libre,Non
225,07000003,Sept-Îles,50.20816,-66.29251,15.0,Libre,Non
226,07000004,Rivière-au-Tonnerre,50.270147,-64.913967,18.16,Libre,Non
227,07007001,Pointe-Lebel,49.1564,-68.24755,22.38,Libre,Oui
228,07230001,Fermont,52.83337,-67.10179,640.39,Libre,Non
229,07480001,Natashquan,50.185999,-61.792714,8.03,Libre,Non
230,08010001,Landrienne,48.547828,-77.949445,313.72,Captive,Non
231,08010002,Sainte-Gertrude-Manneville,48.54952,-78.23584,316.45,Libre,Non
232,08010003,Saint-Dominique-du-Rosaire,48.773168,-77.910826,324.17,Libre,Non
233,08010004,La Motte,48.381124,-78.19373,374.77,Captive,Non
234,08010005,Landrienne,48.546994,-77.809857,375.05,Libre,Non
235,08010006,Landrienne,48.547023,-77.809871,375.26,Libre,Non
236,08010007,Val-d'Or,48.228107,-77.887812,312.53,Captive,Non
237,08070001,Barraute,48.430294,-77.647093,307.74,Captive,Oui
238,08070002,Senneterre,48.309621,-77.171268,345.56,Libre,Non
239,08A10001,La Sarre,48.78601,-79.16402,281.0,Semi-captive,Oui
240,08A10002,Dupuy,48.80482,-79.35994,316.0,Libre,Non
241,09000001,Umiujaq,56.56248,-76.47886,nan,Libre,Non
242,09000002,Umiujaq,56.5589,-76.48078,130.77,Libre,Non
243,09000003,Umiujaq,56.5589,-76.48075,nan,Captive,Non
244,09000004,Umiujaq,56.54676,-76.46442,31.56,Captive,Non
245,09000005,Umiujaq,56.55574,-76.47665,nan,Captive,Non
246,09000006,Umiujaq,56.55008,-76.46924,45.77,Captive,Non
247,09000008,Umiujaq,56.56094,-76.47964,135.34,Captive,Non
248,09000009,Umiujaq,56.55312,-76.47347,90.74,Captive,Non
249,09000010,Umiujaq,56.56053,-76.47992,nan,Libre,Non
250,12000001,Sainte-Famille,46.95041,-70.98029,98.09,Captive,Non
251,13000001,Les Îles-de-la-Madeleine,47.566355,-61.506371,26.03,Libre,Non
252,13000002,Les Îles-de-la-Madeleine,47.565302,-61.505122,14.82,Libre,Non
253,13000003,Les Îles-de-la-Madeleine,47.56403,-61.50385,7.5,Libre,Non
254,13000004,Les Îles-de-la-Madeleine,47.562154,-61.501882,4.3,Libre,Non
255,13000005,Les Îles-de-la-Madeleine,47.56002,-61.525758,9.74,Libre,Non
256,13000006,Les Îles-de-la-Madeleine,47.361347,-61.89064,14.26,Libre,Non
